Fecha,Column 3,Column 4,Número
2020-07-09T01:53:20Z,#PírateYaFelipeVI,http://twitter.com/search?q=%23P%C3%ADrateYaFelipeVI,
2020-07-09T02:58:19Z,#PírateYaFelipeVI,http://twitter.com/search?q=%23P%C3%ADrateYaFelipeVI,
2020-07-09T03:58:16Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,
2020-07-09T03:58:16Z,#PírateYaFelipeVI,http://twitter.com/search?q=%23P%C3%ADrateYaFelipeVI,
2020-07-09T04:58:15Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,
2020-07-09T04:58:15Z,#PírateYaFelipeVI,http://twitter.com/search?q=%23P%C3%ADrateYaFelipeVI,
2020-07-09T06:03:16Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,
2020-07-09T06:03:16Z,#PírateYaFelipeVI,http://twitter.com/search?q=%23P%C3%ADrateYaFelipeVI,
2020-07-09T06:58:15Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,
2020-07-09T06:58:15Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,46957
2020-07-09T06:58:15Z,#PírateYaFelipeVI,http://twitter.com/search?q=%23P%C3%ADrateYaFelipeVI,
2020-07-09T08:03:15Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,
2020-07-09T08:03:15Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,
2020-07-09T08:03:15Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,44366
2020-07-09T09:03:18Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,
2020-07-09T09:03:18Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,10351
2020-07-09T10:03:20Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,
2020-07-09T10:03:20Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,11360
2020-07-09T11:03:23Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,10056
2020-07-09T11:03:23Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,12453
2020-07-09T12:03:26Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,12341
2020-07-09T12:03:26Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,13743
2020-07-09T13:08:29Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,15868
2020-07-09T13:08:29Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,15190
2020-07-09T14:08:30Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,19806
2020-07-09T15:08:38Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,18503
2020-07-09T15:08:38Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,23467
2020-07-09T16:08:33Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,20713
2020-07-09T16:08:33Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,27085
2020-07-09T17:08:34Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,22744
2020-07-09T18:13:33Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,24596
2020-07-10T02:23:24Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,32539
2020-07-10T02:23:24Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,46253
